chromosome	start	end	size	ChIP_1	ChIP_2	ChIP_3	Input_1	Input_2
chr1	25000	25500	500	6389.9900200000002	6494.1587529999997	6815.6993329999996	4573.514698	2398.2301940000002
chr1	25500	26000	500	3817.7471409999998	4114.6785870000003	4858.7957980000001	894.05580510000004	1072.555484
chr1	26000	26500	500	20449.057369999999	22727.533469999998	14649.214900000001	2722.6034690000001	4452.78748
chr1	26500	27000	500	21429.36838	26802.284019999999	26758.815009999998	12991.916670000001	4982.5819629999996
chr1	27000	27500	500	21743.29377	11802.44865	11164.305189999999	3411.707242	3718.9237410000001
chr1	27500	28000	500	58819.558559999998	44349.99108	38567.984380000002	10959.13207	9552.8663049999996
chr1	28000	28500	500	4674.1666299999997	4912.967361	2574.5876990000002	762.36922779999998	697.13446199999998
chr1	28500	29000	500	3600.7099880000001	3755.9388279999998	5022.2270630000003	1778.0508930000001	705.66005870000004
chr1	29000	29500	500	7096.6823729999996	3653.3675039999998	6041.6362090000002	1403.4934920000001	1908.832011
chr1	29500	30000	500	37030.718710000001	31949.259269999999	61204.301240000001	14451.75756	14837.15202
chr1	30000	30500	500	33868.38104	47097.204270000002	38461.100169999998	6518.1984700000003	8185.3218340000003
chr1	30500	31000	500	7035.0233500000004	7648.3132329999999	9540.7896540000002	3715.3130040000001	2532.606601
chr1	31000	31500	500	1119.3595350000001	882.71959719999995	666.78581910000003	226.49506109999999	211.03467370000001
chr1	31500	32000	500	6544.0130280000003	5148.2117619999999	3531.296703	1505.758953	1271.747073
chr1	32000	32500	500	8636.9310139999998	5911.028969	9554.4513210000005	1725.74776	1873.794396
chr1	32500	33000	500	34864.674760000002	22788.64444	23487.068869999999	9125.9108720000004	7736.2426640000003
chr1	33000	33500	500	10888.733099999999	11690.95276	12305.296039999999	3237.6797849999998	2153.7500209999998
chr1	33500	34000	500	6690.2894749999996	5002.8008479999999	8709.3661499999998	2175.8502680000001	1397.1608000000001
chr1	34000	34500	500	26239.109550000001	29557.79189	9170.6494230000008	5975.0573979999999	5744.4947249999996
chr1	34500	35000	500	20948.929240000001	20186.96199	12501.093720000001	4190.6741499999998	2224.5257689999999
chr1	35000	35500	500	9414.8086210000001	12178.414919999999	11759.73064	3320.041561	4098.0912539999999
chr1	35500	36000	500	1384.1974949999999	2551.3324339999999	1745.4333690000001	608.16301039999996	524.61020129999997
chr1	36000	36500	500	43194.111660000002	58325.17828	61805.431299999997	21201.034810000001	8574.0535359999994
chr1	36500	37000	500	10519.580620000001	10899.81813	8910.5327730000008	2750.8144440000001	1742.563292
chr1	37000	37500	500	20020.523020000001	8956.1678400000001	20695.668180000001	2942.1522639999998	1982.4171249999999
chr1	37500	38000	500	24603.14027	17264.11735	19607.836950000001	4199.8493879999996	4352.6470300000001
chr1	38000	38500	500	1032.061291	781.15656360000003	1079.8294739999999	214.24674659999999	296.70876249999998
chr1	38500	39000	500	2971.9234110000002	3738.897939	2452.2691260000001	551.09793060000004	725.87571839999998
chr1	39000	39500	500	5344.8989620000002	2791.9010830000002	6981.1525789999996	455.97462389999998	986.81586679999998
chr1	39500	40000	500	12240.177799999999	7645.3929589999998	11168.962600000001	1734.9926599999999	2487.6693810000002
chr1	40000	40500	500	13931.48126	20077.43578	12692.23674	4753.5178400000004	6985.3298699999996
chr1	40500	41000	500	9229.1508560000002	7023.4942549999996	6984.4940839999999	2653.6136150000002	1127.155154
chr1	41000	41500	500	1201.2276119999999	882.1864822	1617.755013	155.58120310000001	178.72226470000001
chr1	41500	42000	500	10446.65314	7457.785355	17554.060359999999	2032.2294380000001	3329.4868000000001
chr1	42000	42500	500	13678.43318	9292.2870629999998	6634.8495320000002	2014.1901419999999	2844.9336349999999
chr1	42500	43000	500	45865.273650000003	46318.040650000003	32206.10007	17439.180909999999	15406.51417
chr1	43000	43500	500	12646.73387	13079.79326	18504.42078	1906.1965130000001	3251.2067339999999
chr1	43500	44000	500	7865.5933260000002	6505.7044889999997	10781.167240000001	1976.5322269999999	1652.992068
chr1	44000	44500	500	15781.11485	21553.701069999999	16532.370180000002	5399.0695349999996	4935.7991119999997
chr1	44500	45000	500	21497.81668	43015.260950000004	35024.377130000001	6737.3154699999996	8722.153703
chr1	45000	45500	500	18475.271349999999	12704.69772	13230.727290000001	2936.0462440000001	2929.6085899999998
chr1	45500	46000	500	3710.789734	3110.3073180000001	4912.5038590000004	885.03208759999995	683.83326480000005
chr1	46000	46500	500	14483.42562	13738.913790000001	17202.401539999999	3130.588514	3502.185297
chr1	46500	47000	500	2157.0582800000002	1863.8662360000001	2940.8216779999998	470.21053089999998	494.84044949999998
chr1	47000	47500	500	21457.058249999998	24901.461790000001	88341.023759999996	10547.745080000001	6612.1922020000002
chr1	47500	48000	500	42014.097260000002	33743.57948	31127.14933	8271.4622249999993	6121.2927909999999
chr1	48000	48500	500	4173.3774030000004	3399.8724440000001	6147.8563119999999	1357.0521490000001	599.75696089999997
chr1	48500	49000	500	7375.6746819999998	8611.1735019999996	11487.232910000001	3478.7736730000001	2569.4761899999999
chr1	49000	49500	500	3791.6448930000001	4388.3575259999998	4218.1400890000004	1166.8706010000001	1002.207363
chr1	49500	50000	500	29182.256580000001	23338.65683	18989.172900000001	10736.16454	6322.5894609999996
chr1	50000	50500	500	41844.60252	27516.826140000001	42065.931810000002	8263.4908529999993	6966.1515749999999
chr1	50500	51000	500	6030.3127320000003	5790.3560729999999	5019.8908279999996	1075.5080740000001	1410.4220620000001
chr1	51000	51500	500	9216.679322	11770.536050000001	9976.7790970000005	4366.2701340000003	2187.4707199999998
chr1	51500	52000	500	5988.6575869999997	4679.3468059999996	2176.2069799999999	1172.3360270000001	1376.5552230000001
chr1	52000	52500	500	4860.594564	7605.6330129999997	9842.7859769999995	1555.2445580000001	1448.27442
chr1	52500	53000	500	6799.6623929999996	7256.8644510000004	9498.8645350000006	1585.3844549999999	1772.614544
chr1	53000	53500	500	35171.217290000001	21254.464489999998	45790.071450000003	7235.6980700000004	10420.5237
chr1	53500	54000	500	13289.03096	10852.38646	17137.086060000001	5347.1134000000002	3784.826466
chr1	54000	54500	500	2818.7166099999999	2589.8013689999998	2457.2248220000001	441.17772630000002	828.04686530000004
chr1	54500	55000	500	11190.115820000001	10644.844209999999	4185.7723850000002	2060.633214	1780.0948820000001
chr1	55000	55500	500	8503.9904530000003	5252.1955669999998	8500.6917200000007	1587.328094	2036.7255319999999
chr1	55500	56000	500	3854.1913049999998	6345.4768569999997	4462.7389739999999	1620.6667	1496.171552
chr1	56000	56500	500	44762.235610000003	39218.693780000001	37240.90653	17135.029480000001	8291.1122890000006
chr1	56500	57000	500	4423.606675	5402.789393	5340.9970489999996	1007.8502999999999	1148.9153710000001
chr1	57000	57500	500	20301.366450000001	28295.00633	20290.6142	11100.267449999999	4939.7566960000004
chr1	57500	58000	500	42177.201399999998	54020.055639999999	56249.752419999997	14489.74487	9716.8845270000002
chr1	58000	58500	500	12149.158390000001	8425.2601670000004	13819.99101	2083.8643710000001	2017.7847670000001
chr1	58500	59000	500	9165.3358680000001	7708.7383749999999	10988.45169	2464.154673	1937.0580520000001
chr1	59000	59500	500	106984.2377	81561.953769999993	86525.397979999994	16055.344510000001	32574.482479999999
chr1	59500	60000	500	17948.304469999999	13701.444240000001	14196.71646	4772.6791249999997	3838.2949779999999
chr1	60000	60500	500	4202.6678769999999	2430.0854920000002	2678.6111000000001	724.84789239999998	865.70476140000005
chr1	60500	61000	500	31924.535550000001	16512.313480000001	37106.837240000001	3199.3228049999998	3951.8561960000002
chr1	61000	61500	500	7810.4151830000001	7520.9045960000003	5084.667974	1502.722855	942.77825819999998
chr1	61500	62000	500	10989.752860000001	8699.1526699999995	12307.529769999999	2240.655381	2246.2757529999999
chr1	62000	62500	500	8341.2613419999998	5814.53305	9573.4873079999998	3483.8025429999998	1601.590283
chr1	62500	63000	500	11628.573549999999	10171.33145	13525.67627	3035.0122930000002	3774.2731359999998
chr1	63000	63500	500	21443.870080000001	58080.324540000001	35852.553399999997	5579.8543	10125.23237
chr1	63500	64000	500	20226.436890000001	53047.763700000003	22179.803380000001	4460.3934479999998	10846.7595
chr1	64000	64500	500	50746.663099999998	36945.219369999999	27289.307560000001	10358.308059999999	12684.320449999999
chr1	64500	65000	500	19103.119040000001	17343.94443	19612.85499	5082.4829820000004	3659.7565030000001
chr1	65000	65500	500	66965.371580000006	100536.0137	60376.556530000002	12185.518690000001	12659.163479999999
chr1	65500	66000	500	10419.276529999999	10507.718709999999	13700.03656	1996.1808080000001	4066.2853239999999
