chromosome	start	end	size	H3K27ac_1	H3K27ac_2	H3K4me3_1	H3K4me3_2	Input_1	Input_2
chr1	15000	15500	500	17900.064869999998	14195.073479999999	8184.3133680000001	12104.2197	3642.590839	3629.3326120000002
chr1	15500	16000	500	17371.567019999999	12662.28061	13658.305249999999	8261.7506630000007	2708.3836259999998	6642.2085509999997
chr1	16000	16500	500	20149.294549999999	45038.04492	14562.147709999999	24873.974419999999	4381.3029749999996	7043.3167400000002
chr1	16500	17000	500	5803.6517649999996	7912.3559640000003	3878.2600170000001	3114.0658779999999	1665.1012519999999	1807.669298
chr1	17000	17500	500	1187.4549950000001	910.19632969999998	413.776094	830.96540270000003	219.7023695	203.25034009999999
chr1	17500	18000	500	10693.041440000001	15108.49337	4660.8700790000003	8598.9739250000002	2629.6097070000001	2050.7616950000001
chr1	18000	18500	500	4750.4224620000005	3650.342776	3226.9970370000001	3458.5942380000001	1670.0029039999999	1772.5731470000001
chr1	18500	19000	500	104945.7788	79467.649380000003	71799.898939999999	39102.900690000002	27333.13278	17371.632170000001
chr1	19000	19500	500	6863.4995440000002	5022.3748189999997	3933.628545	4223.3898509999999	983.19323880000002	2727.227296
chr1	19500	20000	500	29034.873940000001	24509.817749999998	18951.23877	11868.633540000001	8575.7850560000006	8202.9188319999994
chr1	20000	20500	500	42387.92596	29487.544539999999	13343.256789999999	16987.971689999998	6615.4874689999997	4525.1161810000003
chr1	20500	21000	500	5873.9896509999999	6851.9237329999996	2681.0152069999999	3556.2765220000001	1614.7707740000001	1192.8635300000001
chr1	21000	21500	500	19675.516250000001	21977.93232	25008.084790000001	11060.95889	3945.474076	7856.609254
chr1	21500	22000	500	12547.270560000001	12902.73904	4980.353008	5625.7839409999997	1709.014551	2663.067638
chr1	22000	22500	500	22800.990330000001	14742.848620000001	14918.793729999999	10842.61111	5759.0899179999997	7040.8650049999997
chr1	22500	23000	500	44090.985309999996	59331.09923	16255.183789999999	20199.924009999999	6827.7549980000003	9976.5428350000002
chr1	23000	23500	500	38366.479440000003	40485.907059999998	23320.669089999999	20799.549149999999	18106.759539999999	7745.7145520000004
chr1	23500	24000	500	5269.6313909999999	8250.8976149999999	5193.9150950000003	2424.2595550000001	1673.0980609999999	1333.799109
chr1	24000	24500	500	9443.9902579999998	9310.2484760000007	6710.9856380000001	8710.6739689999995	2544.7168230000002	1499.047963
chr1	24500	25000	500	49282.969559999998	45188.704960000003	25990.341950000002	45169.115400000002	9233.7425029999995	12519.552460000001
chr1	25000	25500	500	7875.3604910000004	7634.3444280000003	4243.2432289999997	2838.1727620000001	1481.5640149999999	1794.22129
chr1	25500	26000	500	38970.651539999999	62331.45882	28832.836439999999	20953.992610000001	9439.5959920000005	11667.93636
chr1	26000	26500	500	17121.231220000001	16199.33502	9368.4089409999997	8683.7826359999999	3508.1444999999999	2977.348383
chr1	26500	27000	500	9134.355528	9169.4563300000009	7031.6888330000002	7393.8175700000002	3943.499718	2307.2439479999998
chr1	27000	27500	500	11841.608190000001	25778.427179999999	11644.335789999999	9356.339011	3151.8833140000002	2699.9141810000001
chr1	27500	28000	500	23360.854619999998	30943.447080000002	18830.738290000001	13428.970929999999	5736.695976	4427.0951619999996
chr1	28000	28500	500	18184.356489999998	16191.105890000001	10872.198609999999	11208.56618	4010.9195960000002	4173.283171
chr1	28500	29000	500	4282.5788190000003	5760.3006310000001	3708.4151390000002	2864.348019	527.79156460000002	796.08857330000001
chr1	29000	29500	500	62117.874430000003	47962.432009999997	22678.294620000001	35571.965369999998	9054.9965919999995	7511.634438
chr1	29500	30000	500	8458.9917089999999	15676.22514	10037.855449999999	10552.49526	2935.4788039999999	3088.2315549999998
chr1	30000	30500	500	18477.524160000001	17838.322459999999	11226.0417	12896.36119	5827.2486959999997	4881.7177099999999
chr1	30500	31000	500	14571.458909999999	9367.3158000000003	15370.041499999999	8714.5982270000004	3579.4337209999999	4813.8334009999999
chr1	31000	31500	500	7794.6356560000004	8810.5419889999994	8591.5008089999992	3693.2111089999999	2886.2641910000002	1465.660928
chr1	31500	32000	500	24048.383860000002	36492.604700000004	14275.221600000001	23512.805069999999	9005.2403369999993	6762.3530170000004
chr1	32000	32500	500	26405.799589999999	15603.76426	10680.967189999999	15545.43583	3632.259599	4092.871944
chr1	32500	33000	500	6208.420975	6973.0582910000003	4292.3772339999996	3942.9823959999999	2284.9213370000002	4268.4303920000002
chr1	33000	33500	500	2123.0817350000002	3265.2925059999998	1764.7385420000001	1126.1227779999999	839.35072809999997	542.88204589999998
chr1	33500	34000	500	18452.071820000001	18135.72421	8874.8199390000009	12855.72762	4976.3900560000002	3283.4106200000001
chr1	34000	34500	500	7426.3179190000001	16659.401419999998	5011.6862860000001	8380.1898359999996	3271.8823819999998	2410.7090349999999
chr1	34500	35000	500	14826.470939999999	8225.6139540000004	7039.0750250000001	10887.7968	4297.171926	2748.0502969999998
chr1	35000	35500	500	32585.31768	24797.199140000001	15819.6404	19080.430420000001	7260.7416409999996	5304.4539260000001
chr1	35500	36000	500	11132.46019	16948.515039999998	7742.2201029999997	6064.1658349999998	3510.201145	3520.5744209999998
chr1	36000	36500	500	23812.50648	7369.4356390000003	7806.5796259999997	7131.6758419999996	4465.165575	3441.4717820000001
chr1	36500	37000	500	175226.17739999999	148512.19810000001	63643.635020000002	53743.157809999997	20702.670580000002	29543.858069999998
chr1	37000	37500	500	30557.871739999999	28703.05414	16444.267660000001	19106.18172	6529.7561969999997	5270.1045020000001
chr1	37500	38000	500	35235.137589999998	63773.734770000003	21767.054209999998	22719.47149	6942.7240979999997	11198.21679
chr1	38000	38500	500	10075.72507	10985.53939	11730.466340000001	9941.7456889999994	2718.3587539999999	2654.337407
chr1	38500	39000	500	4559.2525839999998	4616.6300540000002	4141.9966780000004	2257.9038810000002	1622.0894169999999	1265.098639
chr1	39000	39500	500	3953.9811829999999	3399.3092929999998	3306.3079699999998	1847.3173429999999	1352.5140690000001	1026.4359340000001
chr1	39500	40000	500	23125.475450000002	24869.46675	21146.54407	14786.584709999999	5322.9817190000003	5703.4263469999996
chr1	40000	40500	500	8358.8077979999998	5963.4978309999997	4969.586714	3801.163219	1889.1030659999999	2120.9835589999998
chr1	40500	41000	500	11514.78721	9819.4568999999992	4123.8248789999998	6087.1315100000002	1320.5671299999999	2346.1235409999999
chr1	41000	41500	500	13410.04004	14128.01412	5029.7219249999998	11875.128699999999	4503.327507	2254.6459799999998
chr1	41500	42000	500	17393.36044	20323.297399999999	11523.06799	9361.7758429999994	5686.126784	3358.1598730000001
chr1	42000	42500	500	16508.08063	17853.513269999999	12082.799590000001	11336.21883	3304.5181240000002	3660.4382909999999
chr1	42500	43000	500	102626.14659999999	118116.272	57162.723189999997	50437.373630000002	14227.14927	27640.427940000001
chr1	43000	43500	500	17818.178510000002	22054.286759999999	9360.677318	8373.7792840000002	4137.7789000000002	4559.9836320000004
chr1	43500	44000	500	19142.37557	32765.063579999998	14245.357959999999	20625.570759999999	7930.0010810000003	6730.1155790000003
chr1	44000	44500	500	42105.250269999997	37216.400690000002	21199.460340000001	26183.90526	9762.6701369999992	9835.0936779999993
chr1	44500	45000	500	28631.706549999999	12583.44961	12744.3464	7887.8116040000004	4186.6370729999999	3532.572705
chr1	45000	45500	500	17456.56522	23274.971409999998	18245.626820000001	16982.33683	4166.1578449999997	4679.9357060000002
chr1	45500	46000	500	15138.693020000001	13354.990610000001	10865.80557	8664.6608950000009	3568.0639999999999	2862.2373109999999
chr1	46000	46500	500	104558.22	67718.770969999998	33353.759559999999	58521.508040000001	14878.544099999999	20759.728159999999
chr1	46500	47000	500	9241.5351360000004	12495.63198	6524.6701830000002	10288.24906	2556.3387929999999	3644.5345349999998
chr1	47000	47500	500	27919.35454	38384.62571	15352.802229999999	14081.76037	3707.0198030000001	6603.2262680000003
chr1	47500	48000	500	50864.739249999999	47111.397120000001	16647.68204	22705.196459999999	14169.557769999999	15693.18289
chr1	48000	48500	500	46224.990230000003	31260.65609	28126.913039999999	22486.047149999999	9847.6281999999992	14576.25476
chr1	48500	49000	500	5370.1153839999997	9731.354147	2566.187578	3265.2894449999999	3382.0616460000001	1807.510718
chr1	49000	49500	500	7452.9573719999999	8440.3240829999995	6950.7277249999997	7521.9436070000002	4705.4011259999997	4144.880193
chr1	49500	50000	500	23840.650870000001	13598.142180000001	7903.8247389999997	8113.5617679999996	9305.1695469999995	3608.8747779999999
chr1	50000	50500	500	16628.539929999999	15923.528039999999	9427.9416089999995	11754.56803	2372.9011099999998	3299.2095789999998
chr1	50500	51000	500	16408.812150000002	10229.676960000001	7570.8511790000002	8054.7808100000002	3892.999002	4882.9234829999996
chr1	51000	51500	500	79319.446209999995	100751.5626	63593.441350000001	58374.33167	29245.765729999999	19049.581529999999
chr1	51500	52000	500	26107.741709999998	36025.828329999997	19456.972809999999	15208.093629999999	7966.9732610000001	8117.2905380000002
chr1	52000	52500	500	11191.396339999999	15098.66598	5417.2200210000001	7289.2727530000002	3338.1621049999999	1944.0150040000001
chr1	52500	53000	500	10597.25087	23487.877820000002	9160.512788	11693.445470000001	3900.3038230000002	2672.5595960000001
chr1	53000	53500	500	9147.1201789999996	8543.5477090000004	7994.1502870000004	9569.5759820000003	1943.6094700000001	1948.010988
chr1	53500	54000	500	13974.80826	23782.001909999999	10006.19889	9954.5563650000004	4880.2891170000003	4771.1853339999998
chr1	54000	54500	500	23751.937379999999	15866.03198	9799.2028640000008	10355.53622	3628.1790289999999	5235.626021
chr1	54500	55000	500	18598.321919999998	36576.24525	17718.606779999998	15517.28047	5323.7248849999996	7480.8409149999998
chr1	55000	55500	500	33772.802510000001	18740.41949	13509.519399999999	15432.05191	5071.8226219999997	5612.6105960000004
chr1	55500	56000	500	18522.123060000002	12284.647430000001	2851.8171320000001	7654.9934350000003	4015.0683469999999	2777.1773199999998
chr1	56000	56500	500	7268.824243	5357.7536019999998	6617.4792200000002	4473.8424940000004	2139.47543	1492.754181
chr1	56500	57000	500	40286.653839999999	64399.445019999999	23416.666659999999	40829.734799999998	10752.56891	9645.9138060000005
chr1	57000	57500	500	6458.3748390000001	4434.0434269999996	2373.9453699999999	2760.4119270000001	1164.5375739999999	1674.7822779999999
chr1	57500	58000	500	21114.615679999999	16497.999810000001	7083.0066459999998	12071.71896	3884.5595490000001	2850.173671
chr1	58000	58500	500	6129.8881590000001	12320.030049999999	7136.2484469999999	3733.4483059999998	1698.3929539999999	1461.89014
chr1	58500	59000	500	14650.874739999999	11911.59468	8630.4372609999991	5177.0623480000004	4077.369361	3625.1180789999999
chr1	59000	59500	500	20760.497240000001	15278.50819	13760.367550000001	17884.927	5471.1445739999999	9433.4703929999996
chr1	59500	60000	500	59912.092929999999	34878.945039999999	18340.569309999999	27833.528180000001	10189.81122	9644.4967450000004
chr1	60000	60500	500	2595.170314	2082.5560909999999	1961.0115510000001	840.37288239999998	695.4730783	504.72769360000001
chr1	60500	61000	500	155391.2169	114394.8797	65531.921150000002	72946.212790000005	36855.882980000002	30330.995879999999
chr1	61000	61500	500	2086.6789749999998	7717.6715599999998	1525.426168	2036.066161	590.28705730000001	1563.250403
chr1	61500	62000	500	16490.171849999999	17595.78513	14415.394679999999	19953.62731	5643.4718430000003	3261.6667120000002
chr1	62000	62500	500	2794.896702	3156.9871039999998	1663.69471	1940.8526300000001	440.99448089999999	366.2843436
chr1	62500	63000	500	4207.0341900000003	5606.6989830000002	1773.2626339999999	2311.9574710000002	872.99887530000001	686.68593729999998
chr1	63000	63500	500	7712.6964660000003	14751.790220000001	4495.4761580000004	6473.2298979999996	4109.1134430000002	2720.3258409999999
chr1	63500	64000	500	18983.78443	14040.880520000001	3313.5520940000001	7381.6189610000001	2113.1406910000001	3507.4794980000001
chr1	64000	64500	500	13529.940549999999	14155.160749999999	16478.1188	11738.592650000001	2468.021088	3806.0419000000002
chr1	64500	65000	500	26203.385149999998	50909.576410000001	24748.71213	30052.125950000001	11365.7655	11927.325349999999
chr1	65000	65500	500	4678.6166569999996	5051.4627989999999	4801.5620479999998	5361.4617029999999	1360.411323	1938.233287
chr1	65500	66000	500	18139.78962	16082.616239999999	11296.028560000001	10862.825140000001	4059.2773069999998	5605.6414379999997
chr1	66000	66500	500	6813.0425679999998	5694.4541090000002	2951.507016	5448.9647160000004	1613.0031719999999	2629.793764
chr1	66500	67000	500	28496.672620000001	20503.130140000001	16102.869479999999	14227.198490000001	14831.6567	7082.2484850000001
chr1	67000	67500	500	14320.211020000001	16176.372649999999	8579.2865020000008	20636.693179999998	3078.7195499999998	5204.1496289999995
chr1	67500	68000	500	7372.0441709999996	8098.8922430000002	2767.289851	7595.9140399999997	1873.1681590000001	1262.7992939999999
chr1	68000	68500	500	9762.929709	12602.163259999999	4893.342216	8508.8316009999999	2845.1262040000001	2600.867538
chr1	68500	69000	500	27939.818029999999	40679.023150000001	25359.77075	23778.399939999999	12314.35158	9778.2553829999997
chr1	69000	69500	500	12660.275900000001	11287.59079	9691.034952	9053.5380910000003	3887.6646860000001	4284.6453750000001
chr1	69500	70000	500	3833.846505	4000.125771	2702.8912949999999	2745.2601960000002	1184.7707399999999	1400.795961
chr1	70000	70500	500	2874.109089	5619.7601999999997	1305.179803	1842.3546899999999	315.0665224	909.73832189999996
chr1	70500	71000	500	15362.59204	13020.23121	9336.2862810000006	4624.7180930000004	3871.02088	4889.9286769999999
chr1	71000	71500	500	1476.8146549999999	824.07411160000004	598.11083880000001	494.8723056	269.48726900000003	224.93058909999999
chr1	71500	72000	500	15582.798790000001	10539.345020000001	8294.3057000000008	6503.2961869999999	2460.9716269999999	4334.0959730000004
chr1	72000	72500	500	8305.3320800000001	5723.7939560000004	4338.583173	8386.0315179999998	1607.7678080000001	1797.829086
chr1	72500	73000	500	7867.8973560000004	9333.4617300000009	5106.3137660000002	6395.607833	1310.282676	1518.9229700000001
chr1	73000	73500	500	4740.3489410000002	5349.2454690000004	3109.9179960000001	4212.981949	1152.584278	1437.1744859999999
chr1	73500	74000	500	15594.65684	18339.84288	6853.136023	6379.3013179999998	4276.254269	3180.2618040000002
chr1	74000	74500	500	13462.322410000001	11130.020699999999	8332.0413069999995	8059.6990029999997	4629.2617659999996	4758.6619920000003
chr1	74500	75000	500	23271.604200000002	24084.542519999999	12590.210999999999	21412.58196	5124.4865639999998	5421.5846220000003
chr1	75000	75500	500	25514.667099999999	16253.958919999999	12681.00251	10760.14832	4340.1045729999996	2718.8257720000001
chr1	75500	76000	500	16663.345819999999	13108.673709999999	11864.460730000001	11482.89697	3854.5397119999998	3490.9262159999998
