chromosome	start	end	size	ChIP_1	ChIP_2	ChIP_3	Input_1	Input_2	Input_3
chr1	35500	36000	500	13239.200919999999	17497.38956	11841.98741	2951.4162350000001	2014.632603	3739.6177039999998
chr1	36000	36500	500	24519.371859999999	18837.500830000001	14928.45469	4613.3908439999996	7184.3430049999997	4611.5102569999999
chr1	36500	37000	500	39374.836410000004	31042.20883	48228.174919999998	10574.981680000001	8981.7903559999995	5946.872104
chr1	37000	37500	500	13733.55575	12743.11094	20734.080259999999	4493.4898540000004	5898.3832609999999	6372.3341140000002
chr1	37500	38000	500	4763.9516290000001	2919.4906369999999	4762.2173160000002	923.95557029999998	1269.4785529999999	1247.1761220000001
chr1	38000	38500	500	33234.074240000002	30221.697069999998	20316.035970000001	4048.4712319999999	7592.7861720000001	5218.0667919999996
chr1	38500	39000	500	8619.3199839999997	8056.6792429999996	5600.8817689999996	1894.8858760000001	1505.1819820000001	1175.101109
chr1	39000	39500	500	12984.5785	21781.258870000001	15903.676380000001	4936.8862810000001	6208.6101920000001	4038.7307300000002
chr1	39500	40000	500	19188.797689999999	12257.902990000001	18248.362379999999	5197.7031479999996	7308.4427020000003	3760.7576519999998
chr1	40000	40500	500	10142.473319999999	7558.7920899999999	6837.3435980000004	1839.2992079999999	3055.0097460000002	2688.534087
chr1	40500	41000	500	8673.2731779999995	7644.8984229999996	7909.5359410000001	1589.1587709999999	1794.603707	1434.1265269999999
chr1	41000	41500	500	22478.363659999999	26744.277819999999	31551.769400000001	9506.5538269999997	7193.960368	6817.898115
chr1	41500	42000	500	939.88222710000002	881.58148080000001	705.33638610000003	332.12970410000003	254.3320185	262.5883273
chr1	42000	42500	500	40473.061309999997	39539.558429999997	34639.772250000002	7492.6823240000003	12139.41906	8450.0989769999996
chr1	42500	43000	500	4529.1346970000004	4790.7887170000004	3221.0263810000001	1301.9700330000001	1144.7863950000001	884.02579360000004
chr1	43000	43500	500	36445.846640000003	31172.435219999999	48289.895700000001	7964.5742069999997	8029.8908350000002	9628.7162339999995
chr1	43500	44000	500	58129.912660000002	32209.602050000001	26974.917720000001	13561.03476	8940.5523140000005	10970.63456
chr1	44000	44500	500	34745.289559999997	83508.788419999997	69934.233139999997	13405.54372	19466.696550000001	18246.83769
chr1	44500	45000	500	6121.0479530000002	6887.1005539999996	7203.9009759999999	1020.732573	1461.4435089999999	1709.9494830000001
chr1	45000	45500	500	28813.492020000002	20834.96788	36833.936710000002	7412.6324210000002	7149.0514329999996	6178.4348849999997
chr1	45500	46000	500	49563.781730000002	52057.520190000003	35337.010060000001	13728.008180000001	7325.4458199999999	6687.1988149999997
chr1	46000	46500	500	27249.006010000001	12321.112230000001	16280.80905	2739.5184359999998	3830.315638	6045.3817509999999
chr1	46500	47000	500	6543.3719730000003	6679.8874740000001	10187.944100000001	1110.0622330000001	2478.5309299999999	1347.5338569999999
chr1	47000	47500	500	11524.556860000001	25157.323100000001	11717.176229999999	3172.0532250000001	3079.1721400000001	4297.4274359999999
chr1	47500	48000	500	2904.9473400000002	2314.8280220000001	2555.636285	651.23580489999995	999.51420059999998	925.49920870000005
chr1	48000	48500	500	11104.420459999999	20105.552919999998	10375.99949	2993.8844049999998	2160.2641749999998	1844.000417
chr1	48500	49000	500	66294.659499999994	51658.793039999997	47027.732920000002	10597.70838	14611.62586	13012.36088
chr1	49000	49500	500	52129.92052	14548.94289	45508.77562	7778.9780019999998	9665.6021500000006	4843.1960239999999
chr1	49500	50000	500	13773.77319	11801.010920000001	10117.406580000001	1894.8925469999999	2485.6847550000002	4978.8283680000004
chr1	50000	50500	500	21498.66822	55477.56899	73429.605939999994	12070.968779999999	8877.6365989999995	12604.178900000001
chr1	50500	51000	500	17812.727200000001	13139.46818	26969.654409999999	3675.4269989999998	9229.4070530000008	4968.093543
chr1	51000	51500	500	21243.35961	17632.426360000001	17114.6168	7174.3253949999998	3792.4915310000001	5352.4953089999999
chr1	51500	52000	500	1868.6977750000001	2625.9945560000001	2465.6445600000002	616.47950820000005	452.08745210000001	980.7198363
chr1	52000	52500	500	65257.598910000001	45964.38538	35619.081550000003	9764.5469300000004	11949.962460000001	14186.08057
chr1	52500	53000	500	3762.216175	4266.7385700000004	3703.9215610000001	1011.720885	800.26570059999995	754.60008949999997
chr1	53000	53500	500	7270.8601950000002	9598.4514230000004	6868.8793299999998	1607.2546850000001	2542.531716	1940.7629930000001
chr1	53500	54000	500	15739.442139999999	11761.56279	7557.8861159999997	3710.6078910000001	2250.257791	2542.4208950000002
chr1	54000	54500	500	17743.898000000001	12067.13528	11504.486800000001	1845.9107759999999	1890.2881709999999	2664.067344
chr1	54500	55000	500	6976.9221200000002	15918.978499999999	9586.2727539999996	2408.264913	3750.5522769999998	2802.3662610000001
chr1	55000	55500	500	30590.981090000001	14825.72553	30864.436040000001	10637.365949999999	6311.2162660000004	7656.2974029999996
chr1	55500	56000	500	9327.4730500000005	13748.491389999999	12572.69339	2129.8416900000002	1769.2414859999999	4085.5405730000002
